title,features_handheld,features_max_players,features_multiplatform,features_online,metadata_genres,metadata_licensed,metadata_publishers,metadata_sequel,metrics_review_score,metrics_sales,metrics_used_price,release_console,release_rating,release_rerelease,release_year,length_all_playstyles_average,length_all_playstyles_leisure,length_all_playstyles_median,length_all_playstyles_polled,length_all_playstyles_rushed,length_completionists_average,length_completionists_leisure,length_completionists_median,length_completionists_polled,length_completionists_rushed,length_main_extras_average,length_main_extras_leisure,length_main_extras_median,length_main_extras_polled,length_main_extras_rushed,length_main_story_average,length_main_story_leisure,length_main_story_median,length_main_story_polled,length_main_story_rushed
Super Mario 64 DS,TRUE,1,TRUE,TRUE,Action,TRUE,Nintendo,TRUE,85,4.69,24.95,Nintendo DS,E,TRUE,2004,22.71666667,31.9,24.48333333,57,14.3,29.76666667,35.03333333,30,20,22.01666667,24.91666667,29.96666667,25,16,18.33333333,14.33333333,18.31666667,14.5,21,9.7
Lumines: Puzzle Fusion,TRUE,1,TRUE,TRUE,Strategy,TRUE,Ubisoft,TRUE,89,0.56,14.95,Sony PSP,E,TRUE,2004,10.1,11.01666667,10,5,9.516666667,0,0,0,0,0,9.75,9.866666667,9.75,2,9.616666667,10.33333333,11.08333333,10,3,9.583333333
WarioWare Touched!,TRUE,2,TRUE,TRUE,"Action,Racing / Driving,Sports",TRUE,Nintendo,TRUE,81,0.54,22.95,Nintendo DS,E,TRUE,2004,4.566666667,11.56666667,2.5,57,2.266666667,10,14.1,7.25,16,6.8,3.85,5.666666667,3.333333333,11,2.783333333,1.916666667,2.933333333,1.833333333,30,1.433333333
Hot Shots Golf: Open Tee,TRUE,1,TRUE,TRUE,Sports,TRUE,Sony,TRUE,81,0.49,12.95,Sony PSP,E,TRUE,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man 2,TRUE,1,TRUE,TRUE,Action,TRUE,Activision,TRUE,61,0.45,14.95,Nintendo DS,E,TRUE,2004,13.25,48.38333333,10,37,7.066666667,72.56666667,78.86666667,72.56666667,2,66.28333333,12.76666667,17.31666667,12.5,12,10.48333333,8.35,11.08333333,8,23,5.333333333
The Urbz: Sims in the City,TRUE,1,TRUE,TRUE,Simulation,TRUE,EA,TRUE,67,0.41,12.95,Nintendo DS,M,TRUE,2004,21.93333333,25.5,20,7,16.73333333,30.03333333,30.03333333,30.03333333,2,30.03333333,20.83333333,25.2,20,3,16.45,15.5,15.75,15.5,2,15.25
Ridge Racer,TRUE,1,TRUE,TRUE,Racing / Driving,TRUE,Namco,TRUE,88,0.36,19.95,Sony PSP,E,TRUE,2004,0.816666667,1.05,0.883333333,6,0.583333333,1.25,1.25,1.25,1,1.25,0.883333333,0.933333333,0.883333333,2,0.833333333,0.616666667,0.783333333,0.533333333,3,0.45
Metal Gear Ac!d,TRUE,1,TRUE,TRUE,Strategy,TRUE,Konami,TRUE,75,0.34,17.95,Sony PSP,E,TRUE,2004,25.38333333,51.65,21.26666667,18,19.16666667,80,80,80,1,80,24.83333333,27.48333333,25.1,6,21.91666667,20.7,23.6,20.78333333,11,17.88333333
Madden NFL 2005,TRUE,1,TRUE,TRUE,Sports,TRUE,EA,TRUE,68,0.25,8.95,Nintendo DS,T,TRUE,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokmon Dash,TRUE,1,TRUE,TRUE,Racing / Driving,TRUE,Nintendo,TRUE,46,0.22,24.95,Nintendo DS,T,TRUE,2004,3.833333333,7.25,1.183333333,4,1.75,12,12,12,1,12,0,0,0,0,0,1.116666667,1.2,1.083333333,3,1.05
Dynasty Warriors,TRUE,1,TRUE,TRUE,"Action,Adventure,Role-Playing (RPG)",TRUE,,TRUE,62,0.2,14.95,Sony PSP,E,TRUE,2004,8.883333333,18.05,2.083333333,4,3.116666667,0,0,0,0,0,0,0,0,0,0,8.883333333,18.05,2.083333333,4,3.116666667
Feel the Magic XY/XX,TRUE,1,TRUE,TRUE,"Action,Adventure,Racing / Driving,Sports",TRUE,Sega,TRUE,75,0.16,8.95,Nintendo DS,T,TRUE,2004,2.9,3.8,3,9,2.316666667,0,0,0,0,0,3.1,3.15,3.1,2,3.05,2.85,3.783333333,2.983333333,7,2.3
Ridge Racer DS,TRUE,1,TRUE,TRUE,Racing / Driving,TRUE,Namco,TRUE,63,0.15,9.95,Nintendo DS,E,TRUE,2004,2.233333333,2.233333333,2.233333333,1,2.233333333,0,0,0,0,0,0,0,0,0,0,2.233333333,2.233333333,2.233333333,1,2.233333333
Darkstalkers Chronicle: The Chaos Tower,TRUE,1,TRUE,TRUE,Action,TRUE,Capcom,TRUE,74,0.14,14.95,Sony PSP,E,TRUE,2004,1.633333333,2.4,2,7,1.066666667,0,0,0,0,0,0,0,0,0,0,1.633333333,2.4,2,7,1.066666667
Ape Escape Academy,TRUE,4,TRUE,TRUE,"Action,Sports",TRUE,Sony,TRUE,51,0.13,14.95,Sony PSP,E,TRUE,2004,1.883333333,1.883333333,1.883333333,1,1.883333333,0,0,0,0,0,0,0,0,0,0,1.883333333,1.883333333,1.883333333,1,1.883333333
Polarium,TRUE,1,TRUE,TRUE,Strategy,TRUE,Nintendo,TRUE,73,0.12,8.95,Nintendo DS,E,TRUE,2004,6.733333333,9.183333333,6,5,5.266666667,12,12,12,1,12,0,0,0,0,0,5.416666667,5.783333333,5.75,4,4.866666667
Asphalt: Urban GT,TRUE,1,TRUE,TRUE,"Racing / Driving,Simulation",TRUE,Ubisoft,TRUE,60,0.11,14.95,Nintendo DS,E,TRUE,2004,12.4,13.7,12.4,2,11.1,9.816666667,9.816666667,9.816666667,1,9.816666667,0,0,0,0,0,15,15,15,1,15
Zoo Keeper,TRUE,1,TRUE,TRUE,Action,TRUE,,TRUE,74,0.1,14.95,Nintendo DS,T,TRUE,2004,7.15,8.9,5,5,5.033333333,11.75,11.75,11.75,1,11.75,0,0,0,0,0,6,7.75,5,4,4.75
Mr. DRILLER: Drill Spirits,TRUE,1,TRUE,TRUE,Action,TRUE,Namco,TRUE,72,0.09,14.95,Nintendo DS,T,TRUE,2004,9.883333333,10.98333333,9.883333333,2,8.766666667,0,0,0,0,0,0,0,0,0,0,9.883333333,10.98333333,9.883333333,2,8.766666667
Sprung,TRUE,1,TRUE,TRUE,Adventure,TRUE,Ubisoft,TRUE,48,0.06,8.95,Nintendo DS,E,TRUE,2004,17.75,17.75,17.75,1,17.75,17.75,17.75,17.75,1,17.75,0,0,0,0,0,0,0,0,0,0
Armored Core: Formula Front - Extreme Battle,TRUE,1,TRUE,TRUE,"Action,Strategy",TRUE,,TRUE,66,0.05,16.95,Sony PSP,E,TRUE,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puyo Pop Fever,TRUE,1,TRUE,TRUE,"Action,Strategy",TRUE,Sega,TRUE,76,0.04,19.95,Nintendo DS,E,TRUE,2004,2.5,3.116666667,2,3,1.866666667,0,0,0,0,0,4,4,4,1,4,1.75,1.866666667,1.75,2,1.616666667
Mario Kart DS,TRUE,1,TRUE,TRUE,Racing / Driving,TRUE,Nintendo,TRUE,91,9.99,29.95,Nintendo DS,E,TRUE,2005,10.41666667,22.36666667,9.083333333,91,5.616666667,16.38333333,25.33333333,15,32,10.33333333,10.71666667,15.16666667,10,24,7.8,4.783333333,7.366666667,4.5,35,3.066666667
Nintendogs,TRUE,1,TRUE,TRUE,Simulation,TRUE,Nintendo,TRUE,83,9.72,26.95,Nintendo DS,E,TRUE,2005,39.38333333,66.83333333,27.98333333,9,22.83333333,100,100,100,1,100,43.35,49.01666667,43.35,2,37.66666667,27.96666667,46.81666667,22.15,6,18.53333333
Brain Age: Train Your Brain in Minutes a Day!,TRUE,1,TRUE,TRUE,Action,TRUE,Nintendo,TRUE,77,5.07,17.95,Nintendo DS,M,TRUE,2005,0.95,1.483333333,1,10,0.633333333,1,1,1,2,1,0.933333333,0.966666667,0.933333333,2,0.9,0.933333333,1.483333333,1,6,0.633333333
Brain Agey: More Training in Minutes a Day!,TRUE,1,TRUE,TRUE,Action,TRUE,Nintendo,TRUE,77,3.65,17.95,Nintendo DS,E,TRUE,2005,13.25,27.05,15,7,7.466666667,1,1,1,1,1,23.33333333,29.58333333,15,3,17.08333333,7.266666667,12.06666667,1,3,2.483333333
Grand Theft Auto: Liberty City Stories,TRUE,1,TRUE,TRUE,"Action,Racing / Driving",TRUE,"Capcom,Rockstar",TRUE,88,2.97,17.95,Sony PSP,E,TRUE,2005,20.26666667,44.8,14.96666667,60,12.33333333,46.66666667,59.46666667,47.23333333,7,33.2,26.55,39.13333333,20,11,18.63333333,14.21666667,21.9,13.85,42,10.53333333
Animal Crossing: Wild World,TRUE,1,TRUE,TRUE,Simulation,TRUE,Nintendo,TRUE,86,2.6,24.95,Nintendo DS,T,TRUE,2005,168.9666667,437.3666667,80.53333333,24,72.36666667,408.5833333,555.8,314.6666667,4,308.3,180.5333333,265.1333333,180,9,105.1333333,72.38333333,135.5833333,70,11,45.58333333
Big Brain Academy,TRUE,1,TRUE,TRUE,Action,TRUE,Nintendo,TRUE,74,1.77,16.95,Nintendo DS,E,TRUE,2005,9.166666667,14.06666667,7.133333333,9,4.566666667,16.38333333,17.83333333,15,3,14.91666667,8.066666667,8.533333333,8.066666667,2,7.6,4.3,5.35,5.116666667,4,2.85
Call of Duty 2,TRUE,4,TRUE,TRUE,Action,TRUE,"Activision,Konami",TRUE,89,1.69,17.95,X360,E,TRUE,2005,9.233333333,14.55,9,210,6.55,11.63333333,15.7,11.18333333,39,8.2,9.6,11.31666667,10,25,7.4,8.516666667,11.36666667,8.983333333,146,6.366666667
Midnight Club 3: DUB Edition,TRUE,1,TRUE,TRUE,Racing / Driving,TRUE,Rockstar,TRUE,74,1.69,14.95,Sony PSP,T,TRUE,2005,39,46.75,48,9,29.25,48.86666667,49.4,48.75,4,48.4,49,49.5,49,2,48.5,19.16666667,21.16666667,19.5,3,17.16666667
Need for Speed: Most Wanted 5-1-0,TRUE,1,TRUE,TRUE,Racing / Driving,TRUE,EA,TRUE,72,1.67,14.95,Sony PSP,M,TRUE,2005,11.38333333,12.43333333,10.33333333,3,10.35,0,0,0,0,0,9.833333333,9.833333333,9.833333333,1,9.833333333,12.16666667,13.08333333,12.16666667,2,11.25
Pokmon Mystery Dungeon: Blue Rescue Team,TRUE,1,TRUE,TRUE,Role-Playing (RPG),TRUE,Nintendo,TRUE,62,1.22,14.95,Nintendo DS,T,TRUE,2005,37.46666667,101.0166667,25.61666667,60,20.26666667,111.9666667,135.7333333,90,6,87.98333333,39.61666667,70.25,38.5,21,29.46666667,22.56666667,43.91666667,23.05,33,15.9
Sonic Rush,TRUE,1,TRUE,TRUE,Action,TRUE,Sega,TRUE,82,1.2,14.95,Nintendo DS,E,TRUE,2005,7.916666667,13.53333333,6.216666667,25,5.033333333,13.43333333,17.35,16,5,10.46666667,9.433333333,10.35,10,7,8.183333333,4.966666667,5.983333333,5,13,3.983333333
Star Wars: Battlefront II,TRUE,1,TRUE,TRUE,Action,TRUE,,TRUE,69,1.09,16.95,Sony PSP,E,TRUE,2005,15.01666667,116,9,99,7.416666667,48.9,131.0666667,35.36666667,14,28.56666667,13.41666667,16.68333333,13.35,25,9.833333333,7.783333333,11.23333333,8,60,5.35
SOCOM: U.S. Navy SEALs - Fireteam Bravo,TRUE,1,TRUE,TRUE,Action,TRUE,Sony,TRUE,82,1.07,14.95,Sony PSP,E,TRUE,2005,8.583333333,8.583333333,8.583333333,1,8.583333333,0,0,0,0,0,0,0,0,0,0,8.583333333,8.583333333,8.583333333,1,8.583333333
Need for Speed: Most Wanted,TRUE,2,TRUE,TRUE,Racing / Driving,TRUE,EA,TRUE,83,0.95,17.95,X360,E,TRUE,2005,14.6,46.65,12,182,8.366666667,34.6,56.15,30,21,25.21666667,15.91666667,33.25,14,51,12.46666667,10.18333333,17.03333333,10,110,6.75
Zoo Tycoon DS,TRUE,1,TRUE,TRUE,"Simulation,Strategy",TRUE,THQ,TRUE,44,0.92,12.95,Nintendo DS,T,TRUE,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sims 2,TRUE,1,TRUE,TRUE,"Role-Playing (RPG),Simulation",TRUE,EA,TRUE,70,0.83,17.95,Nintendo DS,M,TRUE,2005,55.93333333,122.7,34.91666667,20,29.7,200,200,200,1,200,61.55,90.38333333,60,7,42,40.66666667,77.9,30.98333333,12,24.9
Mario & Luigi: Partners in Time,TRUE,1,TRUE,TRUE,"Action,Role-Playing (RPG)",TRUE,Nintendo,TRUE,86,0.75,29.95,Nintendo DS,E,TRUE,2005,19.66666667,30.31666667,18.65,96,14.38333333,33.91666667,39.21666667,40,7,27.46666667,19.25,24.06666667,19.03333333,32,16.65,18.15,21.81666667,18.01666667,57,13.85
Madden NFL 06,TRUE,1,TRUE,TRUE,Sports,TRUE,EA,TRUE,75,0.75,7.95,Sony PSP,E,TRUE,2005,3.75,5.366666667,3.75,2,2.116666667,3.75,5.366666667,3.75,2,2.116666667,0,0,0,0,0,0,0,0,0,0
Need for Speed Underground: Rivals,TRUE,4,TRUE,TRUE,Racing / Driving,TRUE,EA,TRUE,74,0.73,17.95,Sony PSP,E,TRUE,2005,22.36666667,28.03333333,20.46666667,3,16.7,27.56666667,31.11666667,27.56666667,2,24.01666667,0,0,0,0,0,12,12,12,1,12
Twisted Metal: Head-On,TRUE,1,TRUE,TRUE,"Action,Racing / Driving",TRUE,Sony,TRUE,79,0.73,14.95,Sony PSP,E,TRUE,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perfect Dark Zero,TRUE,4,TRUE,TRUE,Action,TRUE,Microsoft,TRUE,79,0.7,17.95,X360,E,TRUE,2005,9.3,20.68333333,8,33,6.316666667,28.85,30.78333333,28.85,2,26.91666667,10.16666667,11.28333333,10,3,9.033333333,7.816666667,10,8,28,5.95
Super Monkey Ball: Touch & Roll,TRUE,1,TRUE,TRUE,Action,TRUE,Sega,TRUE,63,0.7,15.95,Nintendo DS,T,TRUE,2005,1.45,2.75,0.566666667,9,0.583333333,0,0,0,0,0,3.55,4.016666667,3.55,2,3.083333333,0.85,2.166666667,0.466666667,7,0.4
Super Princess Peach,TRUE,1,TRUE,TRUE,Action,TRUE,Nintendo,TRUE,75,0.7,29.95,Nintendo DS,T,TRUE,2005,11,19.58333333,9.283333333,22,7.816666667,17.78333333,23.4,17.78333333,6,13.46666667,9.1,10.83333333,9.25,9,7.583333333,7.616666667,9.083333333,7,7,6.4
Burnout Legends,TRUE,1,TRUE,TRUE,"Action,Racing / Driving",TRUE,EA,TRUE,86,0.68,14.95,Sony PSP,T,TRUE,2005,12.83333333,18.2,12,14,9,15.36666667,18.91666667,16.25,4,11.38333333,14.08333333,18.51666667,12,7,10.03333333,6.516666667,6.866666667,7,3,6.166666667
Madden NFL 06,TRUE,2,TRUE,TRUE,Sports,TRUE,EA,TRUE,74,0.62,4.95,X360,E,TRUE,2005,3.75,5.366666667,3.75,2,2.116666667,3.75,5.366666667,3.75,2,2.116666667,0,0,0,0,0,0,0,0,0,0
Clubhouse Games,TRUE,1,TRUE,TRUE,Strategy,TRUE,Nintendo,TRUE,83,0.61,17.95,Nintendo DS,E,TRUE,2005,20,20,20,1,20,20,20,20,1,20,0,0,0,0,0,0,0,0,0,0
ATV Offroad Fury: Blazin' Trails,TRUE,4,TRUE,TRUE,"Racing / Driving,Sports",TRUE,Sony,TRUE,63,0.56,12.95,Sony PSP,T,TRUE,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Untold Legends: Brotherhood of the Blade,TRUE,1,TRUE,TRUE,"Action,Role-Playing (RPG)",TRUE,"Activision,Sony",TRUE,68,0.56,12.95,Sony PSP,M,TRUE,2005,21,21.5,21,2,20.5,0,0,0,0,0,22,22,22,1,22,20,20,20,1,20
Tony Hawk's Underground 2: Remix,TRUE,1,TRUE,TRUE,Sports,TRUE,Activision,TRUE,83,0.49,14.95,Sony PSP,T,TRUE,2005,23.45,23.45,23.45,1,23.45,23.45,23.45,23.45,1,23.45,0,0,0,0,0,0,0,0,0,0
The Sims 2,TRUE,1,TRUE,TRUE,"Simulation,Strategy",TRUE,EA,TRUE,65,0.46,14.95,Sony PSP,T,TRUE,2005,55.93333333,122.7,34.91666667,20,29.7,200,200,200,1,200,61.55,90.38333333,60,7,42,40.66666667,77.9,30.98333333,12,24.9
WipEout Pure,TRUE,1,TRUE,TRUE,"Action,Racing / Driving",TRUE,Sony,TRUE,88,0.45,12.95,Sony PSP,E,TRUE,2005,9.516666667,14.58333333,8.8,8,6.383333333,0,0,0,0,0,14.2,16.55,12,3,11.85,6.716666667,9.666666667,6,5,4.983333333
NBA Live 06,TRUE,1,TRUE,TRUE,Sports,TRUE,EA,TRUE,80,0.42,9.95,Sony PSP,E,TRUE,2005,4,4,4,1,4,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4
WWE Smackdown vs. Raw 2006,TRUE,4,TRUE,TRUE,"Action,Sports",TRUE,THQ,TRUE,81,0.38,14.95,Sony PSP,T,TRUE,2005,19.5,47.23333333,9.416666667,14,10.08333333,46.48333333,59.48333333,31.48333333,3,33.48333333,31,35.5,31,2,26.5,7.966666667,9.6,8,9,6.85
Dead or Alive 4,TRUE,4,TRUE,TRUE,Action,TRUE,,TRUE,85,0.38,17.95,X360,E,TRUE,2005,27.38333333,158.3333333,6,25,8.5,138.75,209.05,97.5,4,89.05,11.06666667,15.26666667,10,7,7.766666667,3.733333333,5.4,3.85,14,2.066666667
Phoenix Wright: Ace Attorney,TRUE,1,TRUE,TRUE,"Adventure,Simulation",TRUE,Capcom,TRUE,81,0.38,24.95,Nintendo DS,E,TRUE,2005,19.68333333,32.18333333,19.05,240,12.18333333,22.35,33.36666667,21.16666667,87,14.11666667,23.31666667,29.3,23,30,16.56666667,16.91666667,25.73333333,16.26666667,123,10.8
Spider-Man 2,TRUE,1,TRUE,TRUE,Action,TRUE,Activision,TRUE,67,0.38,14.95,Sony PSP,M,TRUE,2005,13.25,48.38333333,10,37,7.066666667,72.56666667,78.86666667,72.56666667,2,66.28333333,12.76666667,17.31666667,12.5,12,10.48333333,8.35,11.08333333,8,23,5.333333333
NFL Street 2,TRUE,4,TRUE,TRUE,Sports,TRUE,EA,TRUE,73,0.37,17.95,Sony PSP,T,TRUE,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirby: Canvas Curse,TRUE,1,TRUE,TRUE,Action,TRUE,Nintendo,TRUE,86,0.37,17.95,Nintendo DS,T,TRUE,2005,7.4,14.26666667,5.666666667,40,4.583333333,16.11666667,19.01666667,15.96666667,6,12.26666667,9.7,13.18333333,9.5,6,6.683333333,5.033333333,7.45,4.8,28,3.783333333
Battlefield 2: Modern Combat,TRUE,4,TRUE,TRUE,Action,TRUE,EA,TRUE,77,0.36,16.95,X360,E,TRUE,2005,7.316666667,8.1,6.933333333,4,6.716666667,0,0,0,0,0,9.066666667,9.066666667,9.066666667,1,9.066666667,6.733333333,6.95,6.666666667,3,6.516666667
Yoshi Touch & Go,TRUE,1,TRUE,TRUE,Action,TRUE,Nintendo,TRUE,73,0.36,17.95,Nintendo DS,T,TRUE,2005,4.5,5.25,4.5,2,3.75,0,0,0,0,0,6,6,6,1,6,3,3,3,1,3
Tiger Woods PGA Tour 06,TRUE,4,TRUE,TRUE,Sports,TRUE,EA,TRUE,71,0.33,9.95,X360,T,TRUE,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Condemned: Criminal Origins,TRUE,1,TRUE,TRUE,"Action,Adventure",TRUE,Sega,TRUE,81,0.33,14.95,X360,E,TRUE,2005,8.166666667,14.86666667,7.55,156,5.916666667,14.15,15.41666667,15,7,12.28333333,9.533333333,15.58333333,9,42,7.183333333,7.25,11.05,7,107,5.55
Peter Jackson's King Kong: The Official Game of...,TRUE,2,TRUE,TRUE,Action,TRUE,Ubisoft,TRUE,80,0.32,14.95,X360,T,TRUE,2005,6.966666667,8.583333333,7,49,5.483333333,7.583333333,8.983333333,8,17,6.55,6.8,8.333333333,6.566666667,10,5.833333333,6.583333333,8.383333333,7,22,5.383333333
Castlevania: Dawn of Sorrow,TRUE,1,TRUE,TRUE,"Action,Role-Playing (RPG)",TRUE,Konami,TRUE,89,0.31,17.95,Nintendo DS,T,TRUE,2005,16.03333333,62.45,13,130,9.75,30.01666667,69.18333333,26,19,20.25,15.48333333,32.36666667,14,63,10.53333333,11.21666667,16.15,10.41666667,48,7.9
SpongeBob SquarePants: The Yellow Avenger,TRUE,1,TRUE,TRUE,Action,TRUE,THQ,TRUE,67,0.31,13.95,Nintendo DS,E,TRUE,2005,11.85,13.78333333,11.85,2,9.916666667,15.7,15.7,15.7,1,15.7,0,0,0,0,0,8,8,8,1,8
Marvel Nemesis: Rise of the Imperfects ,TRUE,1,TRUE,TRUE,Action,TRUE,EA,TRUE,58,0.31,17.95,Sony PSP,T,TRUE,2005,5.033333333,6.15,4.583333333,8,4.133333333,0,0,0,0,0,6.15,7.15,7.5,3,5.133333333,4.366666667,4.633333333,4.166666667,5,3.966666667
Kameo: Elements of Power,TRUE,1,TRUE,TRUE,Action,TRUE,Microsoft,TRUE,79,0.31,11.95,X360,T,TRUE,2005,10.03333333,14.55,10.2,43,7.283333333,17,17,17,1,17,11.43333333,15.1,11,12,9.483333333,9.25,10.7,8.95,30,6.783333333
Advance Wars: Dual Strike,TRUE,1,TRUE,TRUE,Strategy,TRUE,Nintendo,TRUE,90,0.3,17.95,Nintendo DS,T,TRUE,2005,70.36666667,249.55,27.83333333,34,33.55,292.5,360.6166667,250,4,245.6166667,73.86666667,102.7666667,63.83333333,10,54.41666667,24.2,27.93333333,23.56666667,20,20.93333333
Trauma Center: Under the Knife,TRUE,1,TRUE,TRUE,"Action,Simulation",TRUE,Nintendo,TRUE,81,0.3,15.95,Nintendo DS,T,TRUE,2005,8.75,11.75,8.266666667,32,6.75,9.066666667,11.56666667,7.216666667,3,6.566666667,11.43333333,13.35,12,5,10.35,8.15,9.916666667,8,24,6.65
Coded Arms,TRUE,1,TRUE,TRUE,Action,TRUE,Konami,TRUE,59,0.3,12.95,Sony PSP,M,TRUE,2005,7.066666667,8.266666667,6,5,5.583333333,0,0,0,0,0,8.566666667,9.566666667,9.716666667,3,7.566666667,4.816666667,4.9,4.816666667,2,4.733333333
NBA LIVE 06 ,TRUE,1,TRUE,TRUE,Sports,TRUE,EA,TRUE,64,0.29,4.95,X360,E,TRUE,2005,4,4,4,1,4,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4
Tony Hawk's American Wasteland,TRUE,1,TRUE,TRUE,Sports,TRUE,Activision,TRUE,75,0.29,14.95,X360,E,TRUE,2005,12.88333333,14.96666667,13,18,9.266666667,15,16,15,2,14,13.66666667,14.53333333,13,7,12.66666667,11.8,13.45,12,9,8.75
Star Wars: Episode III - Revenge of the Sith,TRUE,1,TRUE,TRUE,Action,TRUE,Ubisoft,TRUE,73,0.28,16.95,Nintendo DS,E,TRUE,2005,5.1,6.016666667,5,25,4.016666667,6.266666667,6.683333333,6.5,3,5.85,5.616666667,6.283333333,5.55,7,4.783333333,4.616666667,5.216666667,5,15,3.9
Capcom Classics Collection Remixed,TRUE,1,TRUE,TRUE,Action,TRUE,Capcom,TRUE,72,0.28,17.95,Sony PSP,E,TRUE,2005,35.66666667,35.66666667,35.66666667,1,35.66666667,0,0,0,0,0,35.66666667,35.66666667,35.66666667,1,35.66666667,0,0,0,0,0
Madagascar,TRUE,1,TRUE,TRUE,Adventure,TRUE,Activision,TRUE,66,0.27,14.95,Nintendo DS,E,TRUE,2005,6.683333333,9.166666667,6,12,4.916666667,0,0,0,0,0,9.5,10.86666667,10,4,7.866666667,5.283333333,6.066666667,5,8,4.316666667
X-Men: Legends II - Rise of Apocalypse,TRUE,1,TRUE,TRUE,"Action,Role-Playing (RPG)",TRUE,Activision,TRUE,84,0.27,17.95,Sony PSP,M,TRUE,2005,22.33333333,32.08333333,22,18,18.08333333,23.56666667,24.78333333,23.56666667,2,22.35,21.88333333,31.96666667,22,9,17.96666667,22.56666667,27.98333333,22,7,19.05
Quake 4,TRUE,1,TRUE,TRUE,Action,TRUE,Activision,TRUE,75,0.27,14.95,X360,E,TRUE,2005,9.133333333,15.96666667,8.45,110,6.383333333,13.6,18.23333333,13,13,10.15,10.5,12.13333333,10.03333333,26,8.383333333,7.8,10.75,8,71,5.95
Pokmon Trozei!,TRUE,1,TRUE,TRUE,Strategy,TRUE,Nintendo,TRUE,74,0.26,19.95,Nintendo DS,E,TRUE,2005,3.233333333,4.033333333,2.933333333,5,2.85,0,0,0,0,0,0,0,0,0,0,3.233333333,4.033333333,2.933333333,5,2.85
Need for Speed: Most Wanted,TRUE,1,TRUE,TRUE,Racing / Driving,TRUE,EA,TRUE,45,0.25,15.95,Nintendo DS,E,TRUE,2005,14.6,46.65,12,182,8.366666667,34.6,56.15,30,21,25.21666667,15.91666667,33.25,14,51,12.46666667,10.18333333,17.03333333,10,110,6.75
Mega Man Maverick Hunter X,TRUE,1,TRUE,TRUE,Action,TRUE,Capcom,TRUE,79,0.25,17.95,Sony PSP,E,TRUE,2005,6.766666667,14.11666667,5.683333333,18,3.466666667,7.45,11.26666667,7.666666667,5,4.116666667,8.05,14.75,7,8,5.25,4.066666667,4.433333333,4,5,3.516666667
Metroid Prime Pinball,TRUE,1,TRUE,TRUE,"Action,Simulation",TRUE,Nintendo,TRUE,79,0.22,17.95,Nintendo DS,E,TRUE,2005,5.566666667,8.633333333,5,7,3.283333333,8.666666667,10.41666667,9,3,6.916666667,5,5,5,1,5,2.683333333,3.366666667,2.766666667,3,2.016666667
NBA 06,TRUE,1,TRUE,TRUE,Sports,TRUE,Sony,TRUE,72,0.22,9.95,Sony PSP,E,TRUE,2005,4,4,4,1,4,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4
GUN ,TRUE,1,TRUE,TRUE,"Action,Racing / Driving,Role-Playing (RPG)",TRUE,Activision,TRUE,75,0.22,19.95,X360,E,TRUE,2005,8.85,14.83333333,8,83,5.95,13.18333333,17.23333333,13.25,19,10.1,8.55,10.53333333,8.516666667,36,6.633333333,6.3,10.08333333,6,28,4.816666667
NBA 2K6 ,TRUE,1,TRUE,TRUE,Sports,TRUE,2K,TRUE,81,0.22,4.95,X360,E,TRUE,2005,0.616666667,0.7,0.533333333,3,0.533333333,0.616666667,0.7,0.533333333,3,0.533333333,0,0,0,0,0,0,0,0,0,0
Pinball Hall of Fame: The Gottlieb Collection,TRUE,4,TRUE,TRUE,Action,TRUE,,TRUE,73,0.21,9.95,Sony PSP,T,TRUE,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Goblet of Fire,TRUE,1,TRUE,TRUE,Action,TRUE,EA,TRUE,68,0.21,17.95,Nintendo DS,T,TRUE,2005,10.53333333,13.08333333,8.816666667,18,6.333333333,15,15.5,15,4,14.5,14.38333333,15.66666667,15.28333333,4,12.66666667,7.2,8.3,8,10,5.3
Tony Hawk's American Sk8land,TRUE,1,TRUE,TRUE,Sports,TRUE,Activision,TRUE,84,0.21,16.95,Nintendo DS,E,TRUE,2005,18.8,20.7,20,5,16.2,0,0,0,0,0,18.8,20.7,20,5,16.2,0,0,0,0,0
MVP Baseball,TRUE,1,TRUE,TRUE,Sports,TRUE,EA,TRUE,67,0.21,4.95,Sony PSP,M,TRUE,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
